date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:33	728161/728161	---M--	200	added ('OK')	image/jpeg	etag:%22b1c61-5bb3f40589f19%22	https://preview.colorlib.com/theme/academia/images/about.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/about.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:36	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%228cfa-5bb3f3fe1f870%22	https://preview.colorlib.com/theme/academia/images/person_1.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/person_1.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:36	232221/232221	---M--	200	added ('OK')	image/jpeg	etag:%2238b1d-5bb3f3fed23c8%22	https://preview.colorlib.com/theme/academia/images/author-1.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/author-1.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:36	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22bb43-5bb3f3fbfe9c9%22	https://preview.colorlib.com/theme/academia/images/person_2.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/person_2.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:37	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5bb3f3f9f13a1%22	https://preview.colorlib.com/theme/academia/images/person_3.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/person_3.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:37	877812/877812	---M--	200	added ('OK')	image/jpeg	etag:%22d64f4-5bb3f3ef278a0%22	https://preview.colorlib.com/theme/academia/images/bg_1.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/bg_1.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:37	21897/21897	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:18%20GMT	https://preview.colorlib.com/theme/academia/blog-single.html	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/blog-single.html	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:38	289681/289681	---M--	200	added ('OK')	image/jpeg	etag:%2246b91-5bb3f3f559758%22	https://preview.colorlib.com/theme/academia/images/image_2.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/image_2.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:39	492822/492822	---M--	200	added ('OK')	image/jpeg	etag:%2278516-5bb3f3f78135e%22	https://preview.colorlib.com/theme/academia/images/image_3.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/image_3.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:39	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226387a18d-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:39	508668/508668	---M--	200	added ('OK')	image/jpeg	etag:%227c2fc-5bb3f3f9743a7%22	https://preview.colorlib.com/theme/academia/images/image_1.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/image_1.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:39	369081/369081	---M--	200	added ('OK')	image/jpeg	etag:%225a1b9-5bb3f3fb0a795%22	https://preview.colorlib.com/theme/academia/images/image_4.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/image_4.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:40	80821/80821	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213bb5-5bb3f40c4782a-gzip%22	https://preview.colorlib.com/theme/academia/js/bootstrap.bundle.min.js	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/js/bootstrap.bundle.min.js	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:40	100605/100605	---MCZ	200	added ('OK')	application/javascript	etag:W/%22188fd-5bb3f40e32b73-gzip%22	https://preview.colorlib.com/theme/academia/js/tiny-slider.js	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/js/tiny-slider.js	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:40	54228/54228	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3d4-5bb3f40f28ce8-gzip%22	https://preview.colorlib.com/theme/academia/js/glightbox.min.js	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/js/glightbox.min.js	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:40	14243/14243	---MCZ	200	added ('OK')	application/javascript	etag:W/%2237a3-5bb3f40e3a873-gzip%22	https://preview.colorlib.com/theme/academia/js/aos.js	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/js/aos.js	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:41	1946/1946	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279a-5bb3f40c4976a-gzip%22	https://preview.colorlib.com/theme/academia/js/google-map.js	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/js/google-map.js	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:41	3879/3879	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f27-5bb3f40d262a0-gzip%22	https://preview.colorlib.com/theme/academia/js/main.js	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/js/main.js	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:41	18434/18434	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224802-5bb3fc28ff4fd%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.eot	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
15:25:41	1239245/1239245	---M--	200	added ('OK')	image/jpeg	etag:%2212e8cd-5bb3f3f7a845c%22	https://preview.colorlib.com/theme/academia/images/bg_3.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/bg_3.jpg	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:41	18434/18434	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224802-5bb3fc28ff4fd%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.eot?	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
15:25:42	11216/11216	---M--	200	added ('OK')	font/woff	etag:%222bd0-5bb3fc298af56%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.woff	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
15:25:42	18256/18256	---MCZ	200	added ('OK')	font/ttf	etag:W/%224750-5bb3fc2a17950%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.ttf	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
15:25:42	123444/123444	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e234-5bb3fc2e74c1e%22	https://preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.svg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/academia/css/flaticon.css)
15:25:44	1051468/1051468	---M--	200	added ('OK')	image/jpeg	etag:%22100b4c-5bb3f4028195d%22	https://preview.colorlib.com/theme/academia/images/team-1.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/team-1.jpg	(from https://preview.colorlib.com/theme/academia/team.html)
15:25:44	1898178/1898178	---M--	200	added ('OK')	image/jpeg	etag:%221cf6c2-5bb3f3f3c71ea%22	https://preview.colorlib.com/theme/academia/images/bg_2.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/bg_2.jpg	(from https://preview.colorlib.com/theme/academia/courses.html)
15:25:44	583049/583049	---M--	200	added ('OK')	image/jpeg	etag:%228e589-5bb3f405a9318%22	https://preview.colorlib.com/theme/academia/images/team-2.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/team-2.jpg	(from https://preview.colorlib.com/theme/academia/team.html)
15:25:44	658965/658965	---M--	200	added ('OK')	image/jpeg	etag:%22a0e15-5bb3f407be63f%22	https://preview.colorlib.com/theme/academia/images/team-4.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/team-4.jpg	(from https://preview.colorlib.com/theme/academia/team.html)
15:25:44	298189/298189	---M--	200	added ('OK')	image/jpeg	etag:%2248ccd-5bb3f3fcbff80%22	https://preview.colorlib.com/theme/academia/images/image_5.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/image_5.jpg	(from https://preview.colorlib.com/theme/academia/blog.html)
15:25:45	346343/346343	---M--	200	added ('OK')	image/jpeg	etag:%22548e7-5bb3f3fd8a1d7%22	https://preview.colorlib.com/theme/academia/images/image_6.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/image_6.jpg	(from https://preview.colorlib.com/theme/academia/blog.html)
15:25:45	710236/710236	---M--	200	added ('OK')	image/jpeg	etag:%22ad65c-5bb3f4026737e%22	https://preview.colorlib.com/theme/academia/images/team-3.jpg	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/images/team-3.jpg	(from https://preview.colorlib.com/theme/academia/team.html)
